council_num,council_dis,priv_nurs_3-4_perc,jcps_3-4_pre_val,gra4_math_n_val,gra4_math_perc,gra4_read_lva_val,gra4_read_perc,gr6-12_disc_val,gra8_math_val,gra8_math_perc,gra8_read_val,gra8_read_perc,gra12_grad4p_val,gra12_grad4_perc,no_wor_sch_perc,no_degre25_perc,teenbir_val,teenbir_rate_val,childdeath19_val,childdeath14_val,childpop_val,childpop_perc,childpop_bla_perc,childpop_his_perc,childpop_oth_val,childpop_whi_val,chi_crime_val,chi_crime_rat_val,out_home_val,out_home_rat_val,natal_care_val,natal_care_perc,fam_inc_15_perc,fam_chi_pov_perc,f_husb_wif_perc,f_sing_fath_perc,f_sing_moth_perc,fam_total_val,inf_death_val,st_no_hom_val,st_no_hom_perc,st_abs_10_val,st_abs_10_perc,k-12_st_val,st_susp_val,st_susp_perc,kind_read_val,kind_read_perc,own_home_perc,rent_home_perc,abus_subst_perc,ch_prop_5_perc,abus_ref_val,abus_ref_rat_val,aff_rent_perc,rep_tn_bir_val,rep_tn_bir_perc,ser_crimes_val,abus_subs_val,abus_subs_rate_val,tn_death_val,tot_birth_val,hous_unit_val,tot_pop_val,tot_pop_pov_perc,unemp_fam_perc,vac_hous_perc,custody_val
1,Metro Council District 1,0.158,339,79,0.19036,108,0.26024,136,102,0.21983,127,0.27371,307,0.77136,0.11184,0.84902,230,72.96404,17.8,7,7451.50713,0.27459,0.64837,0.03085,0.04362,0.27716,15,20.1,177,7.91786,629,0.57234,0.30785,0.36199,0.46958,0.10169,0.42874,7107.99783,10,794,0.14281,805,0.14578,0.94908,715,0.1286,134,0.30385,0.60424,0.39576,0.24381,0.25863,1940,86.78334,0.32553,36,0.15652,625.34547,473,21.15903,7,1121,12433.48506,27137,0.28079,0.08334,0.13405,478

2,Metro Council District 2,0.217,323,93,0.23308,111,0.2782,98,96,0.23529,103,0.25245,282,0.74406,0.08272,0.80208,198,62.08843,7.3,5,7858,0.27663,0.5649,0.14482,0.09506,0.19522,20,25.5,138,5.85391,839,0.60621,0.34169,0.37281,0.47524,0.10392,0.42084,6967,11,633,0.11196,721,0.12873,0.96605,645,0.11408,112,0.23529,0.44773,0.55227,0.2509,0.29957,1662,70.5014,0.39566,38,0.19192,446.7366,417,17.68898,1,1438,12444,28406,0.26847,0.16303,0.09651,488
3,Metro Council District 3,0.139,377,80,0.20101,104,0.26131,117,83,0.21728,94,0.24607,266,0.74719,0.08396,0.84277,217,74.36474,11.2,4,6748.23602,0.24877,0.67531,0.05142,0.06891,0.20436,22,32.6,134,6.61901,657,0.54933,0.32696,0.32178,0.4631,0.09261,0.4443,6794.41615,7,681,0.13213,696,0.1362,0.96969,612,0.11874,114,0.29008,0.5436,0.4564,0.2602,0.27713,1741,85.99778,0.41243,38,0.17512,359.0651,453,22.37622,4,1225,12863.91926,27126,0.2579,0.13792,0.11229,372
4,Metro Council District 4,0.065,372,40,0.14337,53,0.18996,109,51,0.19101,46,0.17228,114,0.59375,0.25461,0.79874,216,95.74468,15.4,8,6255,0.23039,0.77122,0.01743,0.05851,0.15284,22,35.2,342,18.22542,699,0.51435,0.59499,0.58194,0.30316,0.09388,0.60295,4740,22,662,0.18507,616,0.1751,0.97235,515,0.14398,90,0.23018,0.24525,0.75475,0.27052,0.37138,2266,120.75673,0.47373,53,0.24537,1192.26519,613,32.6672,2,1429,13780,27150,0.47332,0.19165,0.16074,429
5,Metro Council District 5,0.031,327,63,0.15909,85,0.21465,149,56,0.16374,60,0.17544,268,0.7507,0.18242,0.85855,332,96.39954,15.2,4,7415.8,0.27321,0.72332,0.01335,0.05326,0.21006,61,82.3,246,11.05747,605,0.47082,0.41405,0.45328,0.36378,0.11333,0.52289,6662.2,15,886,0.16886,1029,0.19792,0.96409,860,0.1639,91,0.22581,0.47343,0.52657,0.2602,0.26832,2867,128.86899,0.3284,67,0.20181,760.17144,746,33.53201,8,1326,12937,27143,0.3367,0.23638,0.18797,690
6,Metro Council District 6,0.082,321,61,0.19551,62,0.19872,120,60,0.2381,60,0.2381,144,0.66667,0.08983,0.76478,226,52.94708,17.7,5,5884.67391,0.21331,0.72222,0.04282,0.06795,0.16701,25,42.5,160,9.06309,597,0.4675,0.48224,0.54312,0.36743,0.11562,0.51695,4956,12,609,0.14952,733,0.18148,0.97626,604,0.14829,80,0.21798,0.2956,0.7044,0.26817,0.33324,2215,125.46716,0.41277,58,0.25664,938.60635,594,33.64672,8,1333,14503,27587,0.42659,0.16041,0.17776,443
7,Metro Council District 7,0.64,72,125,0.61881,136,0.67327,11,94,0.51087,107,0.58152,194,0.72119,0.02137,0.44007,38,17.24276,,2,6094.18172,0.20762,0.08574,0.06338,0.07098,0.7799,2,,34,1.8597,752,0.78333,0.07332,0.06375,0.78444,0.05657,0.159,7773.35505,1,386,0.13107,224,0.07963,0.64427,119,0.04041,102,0.5285,0.75503,0.24497,0.31296,0.27068,409,22.37106,0.56153,6,0.15789,121.73656,128,7.00121,1,991,13625.46439,29353,0.05406,0.03163,0.04995,80
8,Metro Council District 8,0.872,26,79,0.6371,95,0.76613,2,67,0.54918,85,0.69672,112,0.81752,0.00217,0.34204,18,6.962,,0,4522.55927,0.1557,0.02392,0.03206,0.0642,0.87982,1,,13,,609,0.80237,0.07373,0.09057,0.78474,0.06552,0.14974,6638.11128,2,88,0.05419,89,0.05521,0.5771,53,0.03264,87,0.67969,0.71942,0.28058,0.2,0.28519,180,13.26682,0.62235,1,,431.9585,36,2.65336,3,783,14951.64759,29046,0.08117,0.04481,0.06654,67
9,Metro Council District 9,0.827,82,62,0.43972,78,0.55319,17,69,0.46939,78,0.53061,116,0.76316,0.01276,0.45568,54,29.05624,,2,5016.41641,0.17034,0.08567,0.03667,0.07108,0.80659,2,,117,7.77447,949,0.78107,0.11427,0.10689,0.75374,0.0706,0.17566,6763.62213,4,225,0.11521,166,0.08588,0.63215,85,0.04352,81,0.47929,0.62801,0.37199,0.2821,0.31941,553,36.74602,0.53878,12,0.22222,308.43237,156,10.36597,0,1258,15607.91784,29450,0.11142,0.04831,0.07293,77
10,Metro Council District 10,0.788,131,61,0.26754,73,0.32018,40,65,0.28017,81,0.34914,164,0.64063,0.08458,0.65773,94,39.02219,,2,5955.49447,0.19929,0.19961,0.07843,0.07712,0.64485,2,,109,6.10081,795,0.69615,0.15311,0.16522,0.64785,0.09695,0.2552,7181.73179,7,1005,0.26658,360,0.10573,0.76276,194,0.05146,74,0.30328,0.64572,0.35428,0.29071,0.29736,1001,56.02669,0.49428,16,0.17021,629.87998,291,16.28748,3,1191,14611.62786,29884,0.13534,0.0563,0.07358,225
11,Metro Council District 11,0.642,117,99,0.43612,121,0.53304,18,105,0.45064,123,0.5279,189,0.79079,0.07635,0.58894,55,21.8289,,1,6255.42554,0.21294,0.15487,0.06961,0.06985,0.70568,2,,33,1.75847,743,0.79465,0.09394,0.08105,0.76318,0.05587,0.18095,8013.62961,8,285,0.09022,287,0.09155,0.71061,189,0.05983,121,0.4566,0.75657,0.24343,0.24825,0.26084,572,30.48021,0.56405,4,,96.22367,142,7.56676,2,973,13124.36201,29376,0.06617,0.06006,0.05951,61
12,Metro Council District 12,0.487,184,100,0.32051,121,0.38782,40,103,0.31307,123,0.37386,261,0.73315,0.15721,0.81671,153,53.62864,,2,6670.75314,0.24044,0.17748,0.03739,0.05337,0.73176,12,18,61,3.04813,732,0.71068,0.12982,0.14708,0.67804,0.08299,0.23897,7532.52182,6,467,0.10689,645,0.14896,0.83642,360,0.0824,87,0.32222,0.7207,0.2793,0.25077,0.25953,977,48.82007,0.5242,19,0.12418,436.73106,245,12.2425,1,1053,11793.38581,27744,0.12118,0.0613,0.0622,216
