id,name,type,category,new
Total population (2010),tot_pop,Council,Demographics,
Family households (2010),f_husb_wif,Council,Demographics,
Family households (2010),f_sing_fath,Council,Demographics,
Family households (2010),f_sing_moth,Council,Demographics,
Family households (2010),fam_total,Council,Demographics,
Child population (2010) Number,childpop_n,Council,Demographics,
Child population (2010) Percent,childpop_p,Council,Demographics,
Child population by race_ethnicity (2010),childpop_bla,Council,Demographics,
Child population by race_ethnicity (2010),childpop_his,Council,Demographics,
Child population by race_ethnicity 2010),childpop_oth,Council,Demographics,
Child population by race_ethnicity (2010),childpop_whi,Council,Demographics,
Proportion of children under age 5 (2010),ch_prop_5,Council,Demographics,
Population in owned and rented homes (2010) owned percent,own_home,Council,Community Environment,
Population in owned and rented homes (2010) rented percent,rent_home,Council,Community Environment,
Total housing units (2010),hous_unit,Council,Community Environment,
Vacant housing units (2010),vac_hous,Council,Community Environment,
Total population in poverty (2007-2011),tot_pop_pov,Council,Community Environment,
Adults age 25 and older without an associate's degree or higher (2007-2011),no_degre25,Council,Community Environment,
"Serious crimes reported to Louisville Metro Police Dept. (2010-2012) rate per 10,000",ser_crimes,Council,Community Environment,
Unemployment rate for families with own children (2007-2011),unemp_fam,Council,Economic Security,
"Families with income less than $25,000 (2007-2011)",fam_inc_15,Council,Economic Security,
Families with related children living below poverty level (2007-2011),fam_chi_pov,Council,Economic Security,
Renters with affordable housing costs (2007-2011),aff_rent,Council,Economic Security,
K-12 JCPS students experiencing homelessness (SY 2011-2012) number,st_no_hom_n,Council,Economic Security,
K-12 JCPS students experiencing homelessness (SY 2011-2012) percent,st_no_hom_p,Council,Economic Security,
16-19 year olds not enrolled in school and not working (Metro Council District),no_work-sch,Council,Economic Security,
3 and 4-year-olds attending nursery_preschool enrolled in a private program (2007-2011),priv_nurs_3-4,Council,Education,
3 and 4-year-olds enrolled in JCPS preschool (SY 2012-2013),jcps_3-4_pre,Council,Education,
K-12 students enrolled in public schools (2007-2011),k-12_st_num,Council,Education,
Kindergarteners ready to learn (SY 2012-2013) percent,kind_read_p,Council,Education,
4th graders scoring proficient or above in reading and math (SY 2011-12),gra4_math_p,Council,Education,
4th graders scoring proficient or above in reading and math (SY 2011-12),gra4_read_p,Council,Education,
8th graders scoring proficient or above in reading and math (SY 2011-12),gra8_math_p,Council,Education,
8th graders scoring proficient or above in reading and math (SY 2011-12),gra8_read_p,Council,Education,
"12th graders graduating within 4 years, or more with an IEP (SY 2011-2012)",gra12_grad4p,Council,Education,
K-12 students absent 10% or more school days (SY 2011-2012) number,st_abs_10_n,Council,Education,
K-12 students absent 10% or more school days (SY 2011-2012) perrcent,st_abs_10_p,Council,Education,
K-12 students with at least 1 out-of-school suspension (SY 2011-2012) number,st_susp_num,Council,Education,
K-12 students with at least 1 out-of-school suspension (SY 2011-2012) percent,st_susp_per,Council,Education,
6th-12th graders enrolled in one of three alternative schools for discipline (SY 2011-2012),gr6-12_disc,Council,Education,
Total births (2008-2010) number,tot_birth_n,Council,Health & Safety,
Early and frequent prenatal care (2008-2010) percent,natal_care_p,Council,Health & Safety,
Referrals to child protection services for abuse_neglect (2010-2012) number,abus_ref_n,Council,Health & Safety,
Referrals to child protection services for abuse_neglect (2010-2012) pecent,abus_ref_p,Council,Health & Safety,
Substantiated cases of child abuse_neglect (2010-2012) number,abus_subs_n,Council,Health & Safety,
Substantiated cases of child abuse_neglect (2010-2012) percent,abus_subs_p,Council,Health & Safety,
Proportion of child abuse_neglect referrals substantiated (2010-2012),abus_subst,Council,Health & Safety,
Children in out-of-home care (2010-2012) Number,out_home_n,Council,Health & Safety,
Children in out-of-home care (2010-2012) Rate per 100,out_home_r,Council,Health & Safety,
Child victims of serious violent crimes (2010-2012) number,chi_crime_n,Council,Health & Safety,
"Child victims of serious violent crimes (2010-2012) rate per 10,000",chi_crime_r,Council,Health & Safety,
Youth taken into custody by Louisville Metro Police Department 2010-2012,custody,Council,Health & Safety,
Births to teens ages 15-19 (2008-2010),teenbir_num,Council,Health & Safety,
"Births to teens ages 15-19 (2008-2010), Rate per 1,000",teenbir_rate,Council,Health & Safety,
Repeat births to teens ages 15-19 (2008-2010) number,rep_tn_bir_n,Council,Health & Safety,
Repeat births to teens ages 15-19 (2008-2010) percent,rep_tn_bir_p,Council,Health & Safety,
Infant deaths (2008-2010),inf_death,Council,Health & Safety,
Child deaths ages 1-14 (2008-2010) Number,childdeath14,Council,Health & Safety,
Teen deaths ages 15-19 (2008-2010) number,tn_death,Council,Health & Safety,
"Child and teen death rate (ages 1-19) (2008-2010) Rate per 10,000",childdeath19,Council,Health & Safety,
